t_recv_s,marker_finger_x,marker_finger_y,marker_finger_z,marker_finger_detected,marker_wrist_x,marker_wrist_y,marker_wrist_z,marker_wrist_detected
7.86528,0.113705,-0.104482,0.097984,1,0.075958,-0.063251,0.132466,1
7.89729,0.113568,-0.104478,0.097998,1,0.075750,-0.063300,0.132439,1
7.93337,0.113507,-0.104594,0.097993,1,0.075717,-0.063437,0.132415,1
7.96539,0.113686,-0.104435,0.097962,1,0.075938,-0.063311,0.132472,1
7.99737,0.113632,-0.104191,0.097901,1,0.075837,-0.063312,0.132472,1
8.03329,0.113728,-0.104585,0.097890,1,0.076008,-0.063673,0.132429,1
8.06533,0.113636,-0.104649,0.097965,1,0.075843,-0.063235,0.132393,1
8.09740,0.113561,-0.104583,0.098078,1,0.075751,-0.063211,0.132466,1
8.13327,0.113666,-0.104351,0.097904,1,0.075913,-0.063271,0.132417,1
8.16545,0.113506,-0.104457,0.097940,1,0.075750,-0.063906,0.132487,1
8.19741,0.113558,-0.104548,0.098031,1,0.075755,-0.063246,0.132444,1
8.23332,0.113777,-0.104367,0.097862,1,0.076042,-0.063466,0.132457,1
8.26530,0.113587,-0.104613,0.097974,1,0.075841,-0.063572,0.132443,1
8.29742,0.113582,-0.104568,0.097991,1,0.075798,-0.063430,0.132440,1
8.33330,0.113651,-0.104535,0.097953,1,0.075855,-0.062987,0.132391,1
8.36530,0.113633,-0.104487,0.097902,1,0.075857,-0.063181,0.132384,1
8.39734,0.113554,-0.104736,0.098061,1,0.075784,-0.063670,0.132502,1
8.43329,0.113561,-0.104314,0.097922,1,0.075755,-0.063503,0.132479,1
8.46529,0.113650,-0.104255,0.097866,1,0.075874,-0.063216,0.132398,1
8.49743,0.113645,-0.104363,0.097915,1,0.075754,-0.063238,0.132391,1
8.53329,0.113882,-0.104311,0.097960,1,0.075850,-0.063404,0.132418,1
8.56541,0.114156,-0.104370,0.097855,1,0.076134,-0.062983,0.132303,1
8.59745,0.114077,-0.103901,0.097793,1,0.076009,-0.063122,0.132337,1
8.63332,0.114225,-0.103290,0.098117,1,0.075923,-0.062412,0.132388,1
8.66529,0.114333,-0.103724,0.099190,1,0.075843,-0.062609,0.132884,1
8.69743,0.114549,-0.104156,0.098893,1,0.076120,-0.063090,0.132764,1
8.73330,0.114408,-0.104303,0.099049,1,0.075794,-0.063824,0.132893,1
8.76540,0.115076,-0.103860,0.099037,1,0.076370,-0.062920,0.132885,1
8.79739,0.115007,-0.104078,0.098968,1,0.076299,-0.063237,0.132766,1
8.83339,0.115058,-0.103716,0.098839,1,0.076366,-0.063185,0.132759,1
8.86530,0.115178,-0.104225,0.099050,1,0.076469,-0.063036,0.132881,1
8.89740,0.115118,-0.103952,0.098941,1,0.076337,-0.063191,0.132772,1
8.93339,0.115117,-0.103964,0.098743,1,0.076375,-0.063966,0.132770,1
8.96542,0.115310,-0.104312,0.098844,1,0.076522,-0.063438,0.132767,1
8.99730,0.115506,-0.103120,0.098734,1,0.076446,-0.062878,0.132677,1
9.03330,0.115727,-0.104379,0.099041,1,0.076605,-0.063170,0.132681,1
9.06529,0.115658,-0.103963,0.099121,1,0.076480,-0.063096,0.132765,1
9.09727,0.115799,-0.104108,0.099183,1,0.076600,-0.062783,0.132745,1
9.13327,0.115821,-0.103890,0.098980,1,0.076607,-0.063186,0.132699,1
9.16528,0.115718,-0.104063,0.099149,1,0.076454,-0.063348,0.132787,1
9.19728,0.116029,-0.103912,0.099051,1,0.076834,-0.063461,0.132815,1
9.23342,0.116040,-0.103970,0.098969,1,0.076736,-0.063143,0.132648,1
